Hum.00 %, Temp: 22.70 Celsius
Humidity: nan %, Temp: nan Celsius
Humidity: nan %, Temp: nan Celsius
Humidity: 49.00 %, Temp: 22.90 Celsius
Humidity: 49.00 %, Temp: 22.90 Celsius
Humidity: 49.00 %, Temp: 22.80 Celsius
Humidity: 49.00 %, Temp: 22.80 Celsius
Humidity: 49.00 %, Temp: 22.80 Celsius
Humidity: nan %, Temp: nan Celsius
Humidity: 48.00 %, Temp: 22.90 Celsius
Humidity: 48.00 %, Temp: 22.90 Celsius
Humidity: 49.00 %, Temp: 22.80 Celsius
Humidity: 49.00 %, Temp: 22.60 Celsius
Humidity: 50.00 %, Temp: 22.60 Celsius
Humidity: 50.00 %, Temp: 22.60 Celsius
Humidity: 50.00 %, Temp: 22.60 Celsius
Humidity: 50.00 %, Temp: 22.60 Celsius
Humidity: 50.00 %, Temp: 22.60 Celsius
Humidity: 50.00 %, Temp: 22.60 Celsius
Humidity: 50.00 %, Temp: 22.60 Celsius
Humidity: 50.00 %, Temp: 22.70 Celsius
Humidity: 50.00 %, Temp: 22.70 Celsius
Humidity: 50.00 %, Temp: 22.70 Celsius
Humidity: 49.00 %, Temp: 22.70 Celsius
Humidity: 49.00 %, Temp: 22.70 Celsius
Humidity: 49.00 %, Temp: 22.70 Celsius
Humidity: 49.00 %, Temp: 22.70 Celsius
Humidity: 49.00 %, Temp: 22.70 Celsius
Humidity: 49.00 %, Temp: 22.70 Celsius
Humidity: 49.00 %, Temp: 22.70 Celsius
Humidity: 49.00 %, Temp: 22.70 Celsius
Humidity: 49.00 %, Temp: 22.70 Celsius
Humidity: 53.00 %, Temp: 22.50 Celsius
Humidity: 50.00 %, Temp: 22.40 Celsius
Humidity: 50.00 %, Temp: 22.40 Celsius
Humidity: 50.00 %, Temp: 22.50 Celsius
Humidity: 50.00 %, Temp: 22.40 Celsius
Humidity: 50.00 %, Temp: 22.50 Celsius
Humidity: 50.00 %, Temp: 22.50 Celsius
Humidity: 50.00 %, Temp: 22.50 Celsius
Humidity: 50.00 %, Temp: 22.60 Celsius
Humidity: 50.00 %, Temp: 22.60 Celsius
Humidity: 50.00 %, Temp: 22.60 Celsius
Humidity: 50.00 %, Temp: 22.60 Celsius
Humidity: 50.00 %, Temp: 22.60 Celsius
Humidity: 50.00 %, Temp: 22.60 Celsius
Humidity: 50.00 %, Temp: 22.60 Celsius
Humidity: 50.00 %, Temp: 22.60 Celsius
Humidity: 50.00 %, Temp: 22.60 Celsius
Humidity: 50.00 %, Temp: 22.60 Celsius
Humidity: 50.00 %, Temp: 22.60 Celsius
Humidity: 50.00 %, Temp: 22.60 Celsius
Humidity: 50.00 %, Temp: 22.60 Celsius
Humidity: 50.00 %, Temp: 22.60 Celsius
Humidity: 50.00 %, Temp: 22.60 Celsius
Humidity: 50.00 %, Temp: 22.60 Celsius
Humidity: 50.00 %, Temp: 22.60 Celsius
Humidity: 50.00 %, Temp: 22.60 Celsius
Humidity: 50.00 %, Temp: 22.60 Celsius
Humidity: 50.00 %, Temp: 22.60 Celsius
Humidity: 50.00 %, Temp: 22.60 Celsius
Humidity: 50.00 %, Temp: 22.60 Celsius
Humidity: 50.00 %, Temp: 22.60 Celsius
Humidity: 50.00 %, Temp: 22.60 Celsius
Humidity: 50.00 %, Temp: 22.60 Celsius
